Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,0,Whirler Rogue,Duel Decks: Elves vs. Inventors,43,Near Mint,English,,,,,,,,
3,0,Whisperer of the Wilds,Fate Reforged,144,Near Mint,English,,,,,,,,
3,0,Wicker Witch,Shadows over Innistrad,268,Near Mint,English,,,,,,,,
1,0,Wild Slash,Fate Reforged,118,Near Mint,English,,,,,,,,
1,0,Wild-Field Scarecrow,Shadows over Innistrad,269,Near Mint,English,,,,,,,,
1,0,Wildheart Invoker,Duel Decks: Zendikar vs. Eldrazi,26,Near Mint,English,,,,,,,,
1,0,Wildheart Invoker,Duel Decks: Elves vs. Inventors,26,Near Mint,English,,,,,,,,
1,0,Write into Being,Fate Reforged,59,Near Mint,English,,,,,,,,
1,0,"Yeva, Nature's Herald",Duel Decks: Elves vs. Inventors,27,Near Mint,English,,,,,,,,
1,0,Zendikar Incarnate,Magic Origins,219,Near Mint,English,,,,,,,,




